"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST004627","ukb-b-11497","Penalised mode",145,0.0267232076502812,0.00830550330487387,0.0104447202992501,0.0430016950013124,0.00159731265852201,FALSE,FALSE,"Tophits","Penalised mode - Tophits",0.84
"ebi-a-GCST004627","ukb-b-11497","Penalised median",145,0.0246824992335849,0.00404385878086433,0.0167566816645248,0.032608316802645,1.03640994308257e-09,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.83
"ebi-a-GCST004627","ukb-b-11497","Simple mean",102,0.0171509154767932,0.00251107026711648,0.0122292177532449,0.0220726132003415,6.48707772453848e-10,FALSE,TRUE,"HF","Simple mean - HF",0.83
"ebi-a-GCST004627","ukb-b-11497","Weighted mode",145,0.02814619938866,0.00745598832937674,0.0135327307939307,0.0427596679833894,0.000233292064052058,TRUE,FALSE,"DF","Weighted mode - DF",0.81
"ebi-a-GCST004627","ukb-b-11497","Weighted median",145,0.0202933919592764,0.00418700633680641,0.0120870103360948,0.0284997735824579,1.25497543321572e-06,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.79
"ebi-a-GCST004627","ukb-b-11497","Simple median",145,0.0186407822296091,0.00402122686446289,0.0107593224015969,0.0265222420576212,3.55910897788649e-06,TRUE,FALSE,"DF","Simple median - DF",0.79
"ebi-a-GCST004627","ukb-b-11497","Weighted mode",102,0.027759993767979,0.00647471925027252,0.0150697772274367,0.0404502103085213,4.14040706208007e-05,FALSE,TRUE,"HF","Weighted mode - HF",0.77
"ebi-a-GCST004627","ukb-b-11497","Penalised median",145,0.0246824992335849,0.00398580156549349,0.0168704717156943,0.0324945267514755,5.91774743403519e-10,TRUE,FALSE,"DF","Penalised median - DF",0.77
"ebi-a-GCST004627","ukb-b-11497","Weighted mode",145,0.02814619938866,0.00766026246851152,0.0131323608382536,0.0431600379390665,0.000335630374587123,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.76
"ebi-a-GCST004627","ukb-b-11497","Simple median",102,0.0191902275005823,0.00378991723196945,0.0117621262215344,0.0266183287796301,4.11638872407414e-07,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.76
"ebi-a-GCST004627","ukb-b-11497","Simple mode",145,0.0224542324351449,0.0108529754547275,0.00118279141878172,0.043725673451508,0.0403390004083808,FALSE,FALSE,"Tophits","Simple mode - Tophits",0.74
"ebi-a-GCST004627","ukb-b-11497","FE IVW",102,0.0180080040540786,0.00249750552304073,0.0131128932289188,0.0229031148792384,5.57893564473378e-13,FALSE,TRUE,"HF","FE IVW - HF",0.74
"ebi-a-GCST004627","ukb-b-11497","Penalised mode",145,0.0267232076502812,0.00806452559159292,0.0109170279383576,0.0425293873622049,0.00116473217536027,TRUE,FALSE,"DF","Penalised mode - DF",0.74
"ebi-a-GCST004627","ukb-b-11497","RE IVW",102,0.0180080040540786,0.00249750552304073,0.0131128932289188,0.0229031148792384,1.042330237033e-10,FALSE,TRUE,"HF","RE IVW - HF",0.72
"ebi-a-GCST004627","ukb-b-11497","FE Egger",102,0.0248948775877743,0.00740673629472475,0.0103776744501138,0.0394120807254348,0.000776290611940594,FALSE,TRUE,"HF","FE Egger - HF",0.72
"ebi-a-GCST004627","ukb-b-11497","Penalised median",102,0.0207567019348292,0.0039604527662339,0.0129943571505388,0.0285190467191197,1.59715493932233e-07,FALSE,TRUE,"HF","Penalised median - HF",0.72
"ebi-a-GCST004627","ukb-b-11497","Simple mode",145,0.0224542324351449,0.0105348702929545,0.00180626607915316,0.0431021987911366,0.0347524072170004,TRUE,FALSE,"DF","Simple mode - DF",0.72
