"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered"
"prot-a-266","ukb-b-11497","Simple mean",2,0.00229936969759022,0.00217820217084535,-0.00196990655726668,0.00656864595244711,0.482776642206199,FALSE,FALSE
"prot-a-266","ukb-b-11497","FE IVW",2,0.00202986736235182,0.00170223072038954,-0.00306475172645427,0.00712448645115791,0.233075097411722,FALSE,FALSE
"prot-a-266","ukb-b-11497","RE IVW",2,0.00202986736235182,0.0025992954534725,-0.00306475172645427,0.00712448645115791,0.577918453241099,FALSE,FALSE
"prot-a-266","ukb-b-11497","Simple mean",2,0.00229936969759022,0.00217820217084535,-0.00196990655726668,0.00656864595244711,0.482776642206199,FALSE,TRUE
"prot-a-266","ukb-b-11497","FE IVW",2,0.00202986736235182,0.00170223072038954,-0.00306475172645427,0.00712448645115791,0.233075097411722,FALSE,TRUE
"prot-a-266","ukb-b-11497","RE IVW",2,0.00202986736235182,0.0025992954534725,-0.00306475172645427,0.00712448645115791,0.577918453241099,FALSE,TRUE
"prot-a-266","ukb-b-11497","Simple mean",2,0.00229936969759022,0.00217820217084535,-0.00196990655726668,0.00656864595244711,0.482776642206199,TRUE,FALSE
"prot-a-266","ukb-b-11497","FE IVW",2,0.00202986736235182,0.00170223072038954,-0.00306475172645427,0.00712448645115791,0.233075097411722,TRUE,FALSE
"prot-a-266","ukb-b-11497","RE IVW",2,0.00202986736235182,0.0025992954534725,-0.00306475172645427,0.00712448645115791,0.577918453241099,TRUE,FALSE
"prot-a-266","ukb-b-11497","Simple mean",2,0.00229936969759022,0.00217820217084535,-0.00196990655726668,0.00656864595244711,0.482776642206199,TRUE,TRUE
"prot-a-266","ukb-b-11497","FE IVW",2,0.00202986736235182,0.00170223072038954,-0.00306475172645427,0.00712448645115791,0.233075097411722,TRUE,TRUE
"prot-a-266","ukb-b-11497","RE IVW",2,0.00202986736235182,0.0025992954534725,-0.00306475172645427,0.00712448645115791,0.577918453241099,TRUE,TRUE
