"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered","selection","method2","MOE"
"ebi-a-GCST004603","ukb-b-12930","FE Egger",172,0.00654863786007691,0.00352053628144474,-0.000351613251554784,0.0134488889717086,0.0628678304816591,FALSE,TRUE,"HF","FE Egger - HF",0.83
"ebi-a-GCST004603","ukb-b-12930","Simple mean",206,0.00597524154437125,0.00205759344862066,0.00194235838507476,0.0100081247036677,0.00408806540693979,TRUE,FALSE,"DF","Simple mean - DF",0.77
"ebi-a-GCST004603","ukb-b-12930","RE IVW",206,0.00333707158001681,0.00216032278510219,-0.000897161078783489,0.0075713042388171,0.123958789000566,FALSE,FALSE,"Tophits","RE IVW - Tophits",0.74
"ebi-a-GCST004603","ukb-b-12930","Penalised median",206,0.00556127819323064,0.00260709049403286,0.000451474720489503,0.0106710816659718,0.0329135837749343,FALSE,FALSE,"Tophits","Penalised median - Tophits",0.74
"ebi-a-GCST004603","ukb-b-12930","Weighted mode",172,0.00383050048221534,0.00342376540601374,-0.00287995640508576,0.0105409573695164,0.264795661914129,FALSE,TRUE,"HF","Weighted mode - HF",0.74
"ebi-a-GCST004603","ukb-b-12930","Simple median",172,0.00439106414517408,0.00269826916647657,-0.000897446241714915,0.00967957453206307,0.103659966713252,FALSE,TRUE,"HF","Simple median - HF",0.73
"ebi-a-GCST004603","ukb-b-12930","Weighted mode",206,0.00532371696635212,0.00351062075384064,-0.0015569732745544,0.0122044072072586,0.130943490732267,FALSE,FALSE,"Tophits","Weighted mode - Tophits",0.72
"ebi-a-GCST004603","ukb-b-12930","Simple mode",172,0.00858792832510445,0.00640055243076096,-0.00395692392034732,0.0211327805705562,0.181456736508176,FALSE,TRUE,"HF","Simple mode - HF",0.72
"ebi-a-GCST004603","ukb-b-12930","RE IVW",206,0.00333707158001681,0.00216032278510219,-0.000897161078783489,0.0075713042388171,0.123958789000566,TRUE,FALSE,"DF","RE IVW - DF",0.72
"ebi-a-GCST004603","ukb-b-12930","RE Egger",172,0.00654863786007691,0.00352053628144474,-0.000351613251554784,0.0134488889717086,0.064595402575813,TRUE,TRUE,"DF + HF","RE Egger - DF + HF",0.72
"ebi-a-GCST004603","ukb-b-12930","Simple mode",172,0.00858792832510445,0.00623594723484363,-0.00363430366468119,0.0208101603148901,0.170261303097763,TRUE,TRUE,"DF + HF","Simple mode - DF + HF",0.72
"ebi-a-GCST004603","ukb-b-12930","Weighted median",172,0.00467352164511602,0.00260257761861063,-0.00042743675433083,0.00977448004456286,0.0725377777304125,FALSE,TRUE,"HF","Weighted median - HF",0.71
"ebi-a-GCST004603","ukb-b-12930","FE Egger",172,0.00654863786007691,0.00352053628144474,-0.000351613251554784,0.0134488889717086,0.0628678304816591,TRUE,TRUE,"DF + HF","FE Egger - DF + HF",0.71
"ebi-a-GCST004603","ukb-b-12930","Simple mean",206,0.00597524154437125,0.00205759344862066,0.00194235838507476,0.0100081247036677,0.00408806540693979,FALSE,FALSE,"Tophits","Simple mean - Tophits",0.7
"ebi-a-GCST004603","ukb-b-12930","Simple median",206,0.00439106414517407,0.00254992950750543,-0.000606705852652534,0.00938883414300068,0.0850634423081016,TRUE,FALSE,"DF","Simple median - DF",0.7
"ebi-a-GCST004603","ukb-b-12930","Weighted mode",172,0.00383050048221534,0.0034833062577656,-0.00299665433012824,0.0106576552945589,0.273020031865308,TRUE,TRUE,"DF + HF","Weighted mode - DF + HF",0.7
"ebi-a-GCST004603","ukb-b-12930","Penalised mode",172,0.00383050048221534,0.00384942772006207,-0.00371423921019645,0.0113752401746271,0.32110185282916,FALSE,TRUE,"HF","Penalised mode - HF",0.69
"ebi-a-GCST004603","ukb-b-12930","Penalised mode",206,0.00469914508947575,0.00413236591381434,-0.0034001432725413,0.0127984334514928,0.256800460915125,TRUE,FALSE,"DF","Penalised mode - DF",0.69
"ebi-a-GCST004603","ukb-b-12930","Simple median",206,0.00439106414517407,0.00260501779797181,-0.000714676917936512,0.00949680520828466,0.091869455115951,FALSE,FALSE,"Tophits","Simple median - Tophits",0.67
"ebi-a-GCST004603","ukb-b-12930","RE IVW",172,0.00380992525128165,0.00160607973344253,0.000662008973734298,0.00695784152882901,0.0187943315642753,FALSE,TRUE,"HF","RE IVW - HF",0.66
"ebi-a-GCST004603","ukb-b-12930","Penalised median",206,0.00556127819323064,0.00263418773421065,0.00039836510566059,0.0107241912808007,0.034755742963062,TRUE,FALSE,"DF","Penalised median - DF",0.66
"ebi-a-GCST004603","ukb-b-12930","Simple mean",172,0.00672250524104327,0.00164594067449175,0.00349646151903945,0.0099485489630471,6.78095103916544e-05,TRUE,TRUE,"DF + HF","Simple mean - DF + HF",0.66
"ebi-a-GCST004603","ukb-b-12930","Penalised mode",206,0.00469914508947575,0.00397863479374954,-0.0030988358139113,0.0124971259928628,0.238933485329519,FALSE,FALSE,"Tophits","Penalised mode - Tophits",0.65
"ebi-a-GCST004603","ukb-b-12930","RE Egger",172,0.00654863786007691,0.00352053628144474,-0.000351613251554784,0.0134488889717086,0.064595402575813,FALSE,TRUE,"HF","RE Egger - HF",0.65
"ebi-a-GCST004603","ukb-b-12930","Simple mode",206,0.0084465763507339,0.00657204988005962,-0.00443440471878374,0.0213275574202515,0.200163061169145,TRUE,FALSE,"DF","Simple mode - DF",0.65
"ebi-a-GCST004603","ukb-b-12930","Simple median",172,0.00439106414517408,0.00275986231148272,-0.00101816658762153,0.00980029487796968,0.111599529285079,TRUE,TRUE,"DF + HF","Simple median - DF + HF",0.65
"ebi-a-GCST004603","ukb-b-12930","Weighted median",172,0.00467352164511602,0.00263466906036992,-0.000490334824391006,0.00983737811462304,0.0760870901482912,TRUE,TRUE,"DF + HF","Weighted median - DF + HF",0.65
"ebi-a-GCST004603","ukb-b-12930","Simple mode",206,0.0084465763507339,0.00637735898832181,-0.00405281758285965,0.0209459702843274,0.186823967143645,FALSE,FALSE,"Tophits","Simple mode - Tophits",0.64
"ebi-a-GCST004603","ukb-b-12930","Penalised median",172,0.00467352164511602,0.00257052653489336,-0.000364617784579512,0.00971166107481154,0.0690460350540569,TRUE,TRUE,"DF + HF","Penalised median - DF + HF",0.64
"ebi-a-GCST004603","ukb-b-12930","Penalised median",172,0.00467352164511602,0.00262327199230567,-0.000467996981455732,0.00981504027168776,0.0748206891086722,FALSE,TRUE,"HF","Penalised median - HF",0.63
"ebi-a-GCST004603","ukb-b-12930","Penalised mode",172,0.00383050048221534,0.00391256005366567,-0.00383797631031947,0.0114989772747502,0.328949877000251,TRUE,TRUE,"DF + HF","Penalised mode - DF + HF",0.63
"ebi-a-GCST004603","ukb-b-12930","RE Egger",206,0.00811190182869911,0.00473805172404023,-0.00117467955041974,0.017398483207818,0.0884024075134229,FALSE,FALSE,"Tophits","RE Egger - Tophits",0.62
"ebi-a-GCST004603","ukb-b-12930","Weighted median",206,0.00563414224513582,0.00267776979450487,0.000385809889017065,0.0108824746012546,0.0353747140653114,FALSE,FALSE,"Tophits","Weighted median - Tophits",0.62
"ebi-a-GCST004603","ukb-b-12930","FE Egger",206,0.00811190182869911,0.00320947120982497,-0.00117467955041974,0.017398483207818,0.0114881560309764,TRUE,FALSE,"DF","FE Egger - DF",0.62
"ebi-a-GCST004603","ukb-b-12930","RE Egger",206,0.00811190182869911,0.00473805172404023,-0.00117467955041974,0.017398483207818,0.0884024075134229,TRUE,FALSE,"DF","RE Egger - DF",0.62
"ebi-a-GCST004603","ukb-b-12930","Weighted median",206,0.00563414224513582,0.00263535762148037,0.000468936220651151,0.0107993482696205,0.0325245156851451,TRUE,FALSE,"DF","Weighted median - DF",0.62
"ebi-a-GCST004603","ukb-b-12930","Simple mean",172,0.00672250524104327,0.00164594067449175,0.00349646151903945,0.0099485489630471,6.78095103916544e-05,FALSE,TRUE,"HF","Simple mean - HF",0.6
"ebi-a-GCST004603","ukb-b-12930","FE IVW",172,0.00380992525128165,0.00160607973344253,0.000662008973734298,0.00695784152882901,0.0176830256329353,FALSE,TRUE,"HF","FE IVW - HF",0.6
"ebi-a-GCST004603","ukb-b-12930","FE IVW",172,0.00380992525128165,0.00160607973344253,0.000662008973734298,0.00695784152882901,0.0176830256329353,TRUE,TRUE,"DF + HF","FE IVW - DF + HF",0.59
"ebi-a-GCST004603","ukb-b-12930","FE IVW",206,0.00333707158001681,0.00146147573399644,-0.000897161078783489,0.0075713042388171,0.0224093184831932,TRUE,FALSE,"DF","FE IVW - DF",0.57
"ebi-a-GCST004603","ukb-b-12930","Weighted mode",206,0.00532371696635212,0.00351403225020496,-0.00156365968456186,0.0122110936172661,0.131315759879934,TRUE,FALSE,"DF","Weighted mode - DF",0.56
"ebi-a-GCST004603","ukb-b-12930","RE IVW",172,0.00380992525128165,0.00160607973344253,0.000662008973734298,0.00695784152882901,0.0187943315642753,TRUE,TRUE,"DF + HF","RE IVW - DF + HF",0.56
"ebi-a-GCST004603","ukb-b-12930","FE IVW",206,0.00333707158001681,0.00146147573399644,-0.000897161078783489,0.0075713042388171,0.0224093184831932,FALSE,FALSE,"Tophits","FE IVW - Tophits",0.54
"ebi-a-GCST004603","ukb-b-12930","FE Egger",206,0.00811190182869911,0.00320947120982497,-0.00117467955041974,0.017398483207818,0.0114881560309764,FALSE,FALSE,"Tophits","FE Egger - Tophits",0.43
