"id.exposure","id.outcome","method","nsnp","b","se","ci_low","ci_upp","pval","steiger_filtered","outlier_filtered"
"prot-a-266","ukb-b-12930","Simple mean",2,-2.28281395317607e-05,0.000271235188672979,-0.000554449109330799,0.000508792830267278,0.946545742770568,FALSE,FALSE
"prot-a-266","ukb-b-12930","FE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.973521487097746,FALSE,FALSE
"prot-a-266","ukb-b-12930","RE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.978877078850637,FALSE,FALSE
"prot-a-266","ukb-b-12930","Simple mean",2,-2.28281395317607e-05,0.000271235188672979,-0.000554449109330799,0.000508792830267278,0.946545742770568,FALSE,TRUE
"prot-a-266","ukb-b-12930","FE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.973521487097746,FALSE,TRUE
"prot-a-266","ukb-b-12930","RE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.978877078850637,FALSE,TRUE
"prot-a-266","ukb-b-12930","Simple mean",2,-2.28281395317607e-05,0.000271235188672979,-0.000554449109330799,0.000508792830267278,0.946545742770568,TRUE,FALSE
"prot-a-266","ukb-b-12930","FE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.973521487097746,TRUE,FALSE
"prot-a-266","ukb-b-12930","RE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.978877078850637,TRUE,FALSE
"prot-a-266","ukb-b-12930","Simple mean",2,-2.28281395317607e-05,0.000271235188672979,-0.000554449109330799,0.000508792830267278,0.946545742770568,TRUE,TRUE
"prot-a-266","ukb-b-12930","FE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.973521487097746,TRUE,TRUE
"prot-a-266","ukb-b-12930","RE IVW",2,1.07438694230923e-05,0.000323688637144976,-0.000623685859381061,0.000645173598227246,0.978877078850637,TRUE,TRUE
